date,description,transactionId,journalEntryId,transaction_type,net_amount_nok,direction,category,expense_accounts,has_reversals
2025-02-07,Betaling,8438748842,8438831343,Kjøp,1618.17,Outflow,ADK,"2400:20003,2711,6908",No
2025-02-03,Betaling,8438748858,8438831372,Kjøp,1637.50,Outflow,ADK,"2400:20003,2711,6908",No
2025-01-23,Betaling,8438748862,8438831381,Kjøp,1584.66,Outflow,ADK,"2400:20003,2711,6907",No
2025-01-06,Betaling,8438748879,8438831406,Kjøp,2095.46,Outflow,ADK,"2400:20003,2711,6908",No
2025-01-23,Betaling,8438748893,8438831429,Kjøp,1584.66,Outflow,ADK,"2400:20003,2711,6908",No
2025-03-17,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790604499072,8467140825,8467176428,Kjøp,821.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-01-21,Betaling  (faktura #FFFC8E93-0009),8474691004,8474718885,Kjøp,233.91,Outflow,Programvare og datasystemer,"2400:20014,2702,2712,6553,8160",No
2025-02-25,Betaling  (faktura #10024),8425853674,8498343388,Salg,10925.80,Inflow,Income,"1500:10006,2701,3020,3090",No
2025-02-25,Betaling  (faktura #10023),8425607336,8498343391,Salg,3950.00,Inflow,Income,"1500:10012,2701,3000",No
2025-02-21,Betaling  (faktura #FFFC8E93-0009),8498351189,8498343411,Kjøp,228.90,Outflow,Programvare og datasystemer,"2400:20014,2702,2712,6553,8160",No
2025-03-03,Se Detaljer i Fakturaoversikt Nettb Februar 2025 for foretak 00934297571,8555591878,8555626307,Bankomkostning,547.21,Outflow,ADK,7770,No
2025-03-14,Overføring av lønn og forskuddstrekk mars 2025,8579794108,8579797114,Lønn,22065.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-03-14,Overføring av lønn og forskuddstrekk mars 2025,8579794108,8579797114,Lønn,12489.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-03-14,Overføring av lønn og forskuddstrekk mars 2025,8579794108,8579797114,Lønn,5511.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-03-13,feriepenger,8579794170,8579797192,Fri,4807.80,Outflow,Personalkostnader,"1920:10002,1920:10003",No
2025-03-13,overføring til wise konto,8579855467,8579875241,Fri,17514.60,Outflow,ADK,1960:10001,No
2025-02-28,Betaling  (faktura #10025),8448545839,8588628566,Salg,885.74,Inflow,Income,"1500:10004,3026",No
2025-03-03,Betaling  (faktura #5189366048),8588406926,8588628602,Kjøp,330.46,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-03-03,Betaling  (faktura #77856141),8588406945,8588628628,Kjøp,16.83,Outflow,Programvare og datasystemer,"2400:20010,2702,2712,6553,8160",No
2025-03-04,Betaling  (faktura #20250303570436),8588406980,8588628692,Kjøp,105.48,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-03-05,Betaling  (faktura #20250304246026),8588406996,8588628718,Kjøp,230.35,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-03-10,Betaling,8588668091,8588628888,Kjøp,2002.25,Outflow,Programvare og datasystemer,"2400:20016,2711,6553",No
2025-02-20,Betaling,8588668231,8588688141,Kjøp,1620.68,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-03-03,Betaling,8588668336,8588688346,Kjøp,1570.07,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-03-07,Betaling,8588668373,8588688415,Kjøp,1808.82,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-02-26,Betaling  (faktura #25985),8588922249,8588894016,Kjøp,2321.06,Outflow,Programvare og datasystemer,"2400:20017,2702,2712,6553,8160",No
2025-03-10,Betaling,8588922274,8588894061,Kjøp,57.20,Outflow,Programvare og datasystemer,"2400:20007,2702,2712,6553",No
2025-03-10,Betaling,8588922300,8588937113,Kjøp,130.00,Outflow,Programvare og datasystemer,"2400:20013,2711,6553",No
2025-03-17,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 60940554724 med kid/melding 049377765,8588922439,8588937423,Kjøp,338.00,Outflow,Programvare og datasystemer,"2400:20012,2711,6553",No
2025-02-24,Betaling  (faktura #B1DE1E1A-0022),8588922486,8588937477,Kjøp,102.61,Outflow,Programvare og datasystemer,"2400:20009,2702,2712,6553,8160",No
2025-03-17,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 64010573988 med kid/melding 000000626844880,8590407151,8590409338,Kjøp,1241.99,Outflow,Programvare og datasystemer,"2400:20018,2711,6553,7798,8155",No
2025-04-02,"Månedsabonnement Fiken, Lønn (inkl 1 ansatt), Bankintegrasjon mm. og EHF-mottak",8611630368,8611625496,Kjøp,2752.50,Outflow,Programvare og datasystemer,"2400:20001,2711,6553",No
2025-03-18,Betaling  (faktura #367191),8614259519,8614271525,Kjøp,1411.26,Outflow,Programvare og datasystemer,"2400:20019,2702,2712,6553,8160",No
2025-04-14,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790604570955,8620426247,8620444104,Kjøp,1810.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-03-28,Betaling  (faktura #10028),8588668682,8678097447,Salg,16534.59,Inflow,Income,"1500:10006,2701,3020,3090",No
2025-03-28,Betaling  (faktura #10027),8588406582,8678097453,Salg,8670.00,Inflow,Income,"1500:10015,2701,3020",No
2025-03-28,Betaling  (faktura #10030),8588869307,8678097459,Salg,4155.00,Inflow,Income,"1500:10016,2701,3020",No
2025-03-28,Betaling  (faktura #10026),8588070929,8678097469,Salg,1818.00,Inflow,Income,"1500:10002,2701,3020",No
2025-03-28,Betaling  (faktura #10032),8593157351,8678097656,Salg,885.74,Inflow,Income,"1500:10004,3026",No
2025-03-28,Betaling  (faktura #10031),8589385982,8680767671,Salg,42142.00,Inflow,Income,"1500:10007,2701,3020,3090",No
2025-03-28,Betaling  (faktura #10029),8588745949,8680767694,Salg,1200.00,Inflow,Income,"1500:10007,2701,3020",No
2025-04-14,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 60940554724 med kid/melding 049600786,8721479476,8721491358,Kjøp,1430.00,Outflow,Programvare og datasystemer,"2400:20012,2711,6553",No
2025-04-07,Betaling av merverdiavgift (mva-melding jan-feb 2025),8721516085,8721518144,Mva-oppgjør,16009.00,Outflow,MVA,"2701,2702,2711,2712,2740,7740",No
2025-04-15,Overføring av lønn og forskuddstrekk april 2025,8721516358,8721518602,Lønn,17794.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-04-15,Overføring av lønn og forskuddstrekk april 2025,8721516358,8721518602,Lønn,11550.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-04-15,Overføring av lønn og forskuddstrekk april 2025,8721516358,8721518602,Lønn,6326.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-04-07,feriepenger,8721516529,8721518873,Fri,4280.40,Outflow,Personalkostnader,"1920:10002,1920:10003",No
2025-04-01,Se Detaljer i Fakturaoversikt Nettb Mars 2025 for foretak 00934297571,8721516703,8721730177,Bankomkostning,295.25,Outflow,ADK,7770,No
2025-04-04,Betaling  (faktura #10033),8625606940,8721730275,Salg,5760.00,Inflow,Income,"1500:10010,2965,3026",No
2025-04-04,Betaling  (faktura #10034),8627780840,8721730282,Salg,26985.00,Inflow,Income,"1500:10017,2701,2965,3020,3026",No
2025-04-02,Betaling  (faktura #78791119),8721516794,8721730352,Kjøp,20.38,Outflow,Programvare og datasystemer,"2400:20010,2702,2712,6553,8160",No
2025-04-02,Betaling  (faktura #5210723388),8721516815,8721730388,Kjøp,321.63,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-03-12,Betaling,8723094185,8723067980,Kjøp,1518.72,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-03-12,Betaling,8723094393,8723102315,Kjøp,1518.72,Outflow,ADK,"2400:20003,2711,6908",No
2025-03-24,Betaling,8723094474,8723102452,Kjøp,1532.01,Outflow,ADK,"2400:20003,2711,6908",No
2025-03-31,Betaling,8723094621,8723102705,Kjøp,1482.84,Outflow,ADK,"2400:20003,2711,6908",No
2025-04-04,Betaling  (faktura #20250403135007),8723094737,8723102908,Kjøp,108.76,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-03-24,Betaling,8723221117,8723217242,Kjøp,97.92,Outflow,Programvare og datasystemer,"2400:20009,2702,2712,6553,8160",No
2025-03-21,Betaling  (faktura #FFFC8E93-0010),8751380388,8751377654,Kjøp,216.99,Outflow,Programvare og datasystemer,"2400:20014,2702,2712,6553,8160",No
2025-04-07,Betaling  (faktura #10035),8636136743,8751377689,Salg,30702.00,Inflow,Income,"1500:10007,2701,2965,3026",No
2025-04-08,Betaling,8751380428,8751377724,Kjøp,130.00,Outflow,Programvare og datasystemer,"2400:20013,2711,6553",No
2025-04-08,Betaling,8751380449,8751377759,Kjøp,55.73,Outflow,Programvare og datasystemer,"2400:20007,2702,2712,6553",No
2025-04-15,Betaling  (faktura #10036),8685150474,8794399696,Salg,6165.60,Inflow,Income,"1500:10006,2965,3026",No
2025-04-24,Betaling  (faktura #10039),8723156264,8816032929,Salg,6971.08,Inflow,Income,"1500:10006,2701,3020,3026,3090",No
2025-04-22,Betaling  (faktura #10038),8722674026,8816032940,Salg,32376.00,Inflow,Income,"1500:10007,2701,2965,3020,3026",No
2025-04-22,Betaling  (faktura #10037),8722196337,8816032956,Salg,884.38,Inflow,Income,"1500:10012,2701,3020",No
2025-05-02,Se Detaljer i Fakturaoversikt Nettb April 2025 for foretak 00934297571,8858149369,8858151362,Bankomkostning,253.75,Outflow,ADK,7770,No
2025-05-15,Overføring av lønn og forskuddstrekk mai 2025,8921254317,8921237874,Lønn,17794.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-05-15,Overføring av lønn og forskuddstrekk mai 2025,8921254317,8921237874,Lønn,11520.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-05-15,Overføring av lønn og forskuddstrekk mai 2025,8921254317,8921237874,Lønn,6486.08,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-05-15,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790604656937,8921254353,8921237918,Kjøp,2389.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-05-15,feriepenger,8921254458,8921278109,Fri,4272.12,Outflow,Personalkostnader,"1920:10002,1920:10003",No
2025-04-25,Betaling  (faktura #10040),8751324671,8921278214,Salg,111456.00,Inflow,Income,"1500:10018,2701,2965,3020,3026",No
2025-04-29,Betaling  (faktura #10041),8773055566,8921278224,Salg,885.74,Inflow,Income,"1500:10004,3026",No
2025-04-25,Betaling  (faktura #10042),8794395247,8921278234,Salg,31500.00,Inflow,Income,"1500:10019,2701,2965,3020",No
2025-05-02,Betaling  (faktura #5236164683),8923873602,8923888753,Kjøp,333.73,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-05-05,Betaling  (faktura #20250504345064),8923873631,8923888796,Kjøp,427.39,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-05-05,Betaling,8923873650,8923888822,Kjøp,104.39,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-05-08,Betaling,8923873668,8923888845,Kjøp,54.71,Outflow,Programvare og datasystemer,"2400:20007,2702,2712,6553",No
2025-05-02,Betaling  (faktura #79517603),8923873689,8923888879,Kjøp,16.81,Outflow,Programvare og datasystemer,"2400:20010,2702,2712,6553,8160",No
2025-04-03,Betaling,8923873864,8923954182,Kjøp,1470.78,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-04-03,Betaling,8923873924,8923954287,Kjøp,1470.78,Outflow,ADK,"2400:20003,2711,6908",No
2025-04-07,Betaling,8923873950,8923954338,Kjøp,2177.06,Outflow,ADK,"2400:20003,2711,6908",No
2025-04-14,Betaling,8923873968,8923954378,Kjøp,1538.66,Outflow,ADK,"2400:20003,2711,6908",No
2025-04-22,Betaling  (faktura #FFFC8E93-0011),8923873983,8923954412,Kjøp,214.88,Outflow,Programvare og datasystemer,"2400:20014,2702,2712,6553,8160",No
2025-04-22,Betaling,8923874015,8923954476,Kjøp,1491.79,Outflow,ADK,"2400:20003,2711,6908",No
2025-04-30,Betaling,8923874035,8923954515,Kjøp,1516.55,Outflow,ADK,"2400:20003,2711,6908",No
2025-06-17,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790604738107,8950602571,8950623397,Kjøp,2153.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-01-29,Betaling  (faktura #10051),8962382939,8962415567,Salg,885.74,Inflow,Income,"1500:10004,2701,3026",No
2025-02-28,Betaling  (faktura #10052),8962541832,8962552860,Salg,885.74,Inflow,Income,"1500:10004,2701,3026",No
2025-03-28,Betaling  (faktura #10053),8962541989,8962583138,Salg,885.74,Outflow,Income,"1500:10004,2701,3026",No
2025-04-29,Betaling  (faktura #10054),8962590267,8962583545,Salg,885.74,Inflow,Income,"1500:10004,2701,3026",No
2025-05-08,Betaling,8967421161,8967408690,Kjøp,130.00,Outflow,Programvare og datasystemer,"2400:20013,2711,6553",No
2025-05-22,Betaling  (faktura #10055),8962590487,8967409001,Salg,1107.18,Inflow,Income,"1500:10004,2701,3026",No
2025-06-13,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 60940554724 med kid/melding 050124619,9053300953,9053345585,Kjøp,358.00,Outflow,Programvare og datasystemer,"2400:20012,2711,6553",No
2025-06-02,Se Detaljer i Fakturaoversikt Nettb Mai 2025 for foretak 00934297571,9053376074,9053345775,Bankomkostning,254.75,Outflow,ADK,7770,No
2025-05-30,Betaling  (faktura #10048),8923982470,9053345801,Salg,9432.00,Inflow,Income,"1500:10018,2701,3020",No
2025-05-30,Betaling  (faktura #10045),8923873215,9053345822,Salg,9005.50,Inflow,Income,"1500:10002,2701,2965,3000,3020",No
2025-06-02,Betaling  (faktura #5268664022),9053376113,9053345841,Kjøp,327.00,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-06-02,Betaling  (faktura #80267462),9053376124,9053345859,Kjøp,15.77,Outflow,Programvare og datasystemer,"2400:20010,2702,2712,6553,8160",No
2025-05-28,Betaling  (faktura #10044),8921615259,9053345938,Salg,1237.50,Inflow,Income,"1500:10012,2701,3020",No
2025-05-28,Betaling  (faktura #10043),8921557683,9053345951,Salg,28164.00,Inflow,Income,"1500:10007,2701,3020",No
2025-05-30,Betaling  (faktura #10046),8923873495,9053345965,Salg,7935.00,Inflow,Income,"1500:10015,2701,3020",No
2025-05-30,Betaling  (faktura #10047),8923982272,9053346020,Salg,8194.84,Inflow,Income,"1500:10006,2701,3090",No
2025-05-22,Betaling  (faktura #B1DE1E1A-0025),9053376319,9053390193,Kjøp,95.27,Outflow,Programvare og datasystemer,"2400:20009,2702,2712,6553,8160",No
2025-05-21,Betaling  (faktura #FFFC8E93-0012),9053376344,9053390248,Kjøp,213.04,Outflow,Programvare og datasystemer,"2400:20014,2702,2712,6553,8160",No
2025-04-22,Betaling  (faktura #B1DE1E1A-0024),9053376359,9053390273,Kjøp,96.70,Outflow,Programvare og datasystemer,"2400:20009,2702,2712,6553,8160",No
2025-06-03,Betaling  (faktura #10089),9054353068,9054620195,Kjøp,5397.00,Outflow,ADK,"2400:20021,2711,7210",No
2025-06-13,Betaling av merverdiavgift (mva-melding mar-apr 2025),9088121766,9088120063,Mva-oppgjør,58302.00,Outflow,MVA,"2701,2702,2711,2712,2740,7740",No
2025-06-05,Betaling  (faktura #10049),8923982681,9088149147,Salg,6225.00,Inflow,Income,"1500:10016,2701,3020",No
2025-06-05,Betaling  (faktura #20250604734203),9088121905,9088149195,Kjøp,606.59,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-06-04,Betaling  (faktura #20250603534039),9088121926,9088149226,Kjøp,110.52,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-06-30,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 15061751936 med kid/melding 020184214,9092228372,9092214862,Kjøp,8750.00,Outflow,ADK,"2400:20022,2711,6551",No
2025-06-13,Overføring av lønn og forskuddstrekk juni 2025,9101826022,9101892417,Lønn,6343.56,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-06-13,Overføring av lønn og forskuddstrekk juni 2025,9101826022,9101892417,Lønn,3960.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-06-13,Overføring av lønn og forskuddstrekk juni 2025,9101826022,9101892417,Lønn,1754.60,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-06-13,feriepenger,9101914114,9101892552,Fri,1080.00,Outflow,Personalkostnader,"1920:10002,1920:10003",No
2025-06-10,Betaling,9101915065,9102009232,Kjøp,130.00,Outflow,Programvare og datasystemer,"2400:20013,2711,6553",No
2025-07-16,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790604819071,9124014181,9124022159,Kjøp,2151.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-06-10,Betaling,9133587097,9133588105,Kjøp,52.80,Outflow,Programvare og datasystemer,"2400:20007,2702,2712,6553",No
2025-05-07,Betaling,9133587286,9133588379,Kjøp,1793.22,Outflow,ADK,"2400:20003,2711,6908",No
2025-05-15,Betaling,9133587330,9133588454,Kjøp,1457.67,Outflow,ADK,"2400:20003,2711,6908",No
2025-05-22,Betaling,9133587367,9133588516,Kjøp,1482.18,Outflow,ADK,"2400:20003,2711,6908",No
2025-05-28,Betaling,9133587422,9133588585,Kjøp,1471.69,Outflow,ADK,"2400:20003,2711,6908",No
2025-06-23,Betaling  (faktura #FFFC8E93-0013),9190427627,9190446565,Kjøp,206.95,Outflow,Programvare og datasystemer,"2400:20014,2702,2712,6553,8160",No
2025-06-24,Betaling,9190427685,9190446659,Kjøp,290.28,Outflow,ADK,"2400:20023,6860",No
2025-07-14,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 60940554724 med kid/melding 050375757,9236034777,9236061551,Kjøp,279.00,Outflow,Programvare og datasystemer,"2400:20012,2711,6553",No
2025-07-01,Se Detaljer i Fakturaoversikt Nettb Juni 2025 for foretak 00934297571,9239685378,9239643065,Bankomkostning,261.25,Outflow,ADK,7770,No
2025-07-02,Betaling  (faktura #81075200),9254681130,9254688090,Kjøp,13.50,Outflow,Programvare og datasystemer,"2400:20010,2702,2712,6553,8160",No
2025-06-30,Betaling  (faktura #10058),9124917706,9254688106,Salg,11730.00,Inflow,Income,"1500:10016,2701,3020",No
2025-06-30,Betaling  (faktura #10057),9124872069,9254688118,Salg,8685.00,Inflow,Income,"1500:10020,2701,3020",No
2025-07-02,Betaling  (faktura #5293456631),9254681161,9254688135,Kjøp,334.72,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-06-30,Betaling  (faktura #10060),9124968332,9254688145,Salg,1920.00,Inflow,Income,"1500:10007,2701,3020",No
2025-06-27,Betaling  (faktura #10056),9120199147,9254688158,Salg,1107.18,Inflow,Income,"1500:10004,2701,3026",No
2025-06-23,Betaling  (faktura #B1DE1E1A-0025),9254681210,9254688202,Kjøp,93.02,Outflow,Programvare og datasystemer,"2400:20009,2702,2712,6553,8160",No
2025-07-08,nulle ut aga,9254733016,9254747994,Fri,2075.00,Inflow,Income,"1920:10002,1920:10003",No
